	card1	card2	suited	force	qualifies	hrank
0	♢5	♠5	False	2	True	Two Pair
1	♢8	♣K	False	0	True	Three Of A Kind
2	♢4	♣2	False	2	True	Three Of A Kind
3	♡2	♠4	False	1	True	Three Of A Kind
4	♣4	♡6	False	0	False	One Pair
5	♢9	♢A	True	0	True	Three Of A Kind
6	♠T	♡5	False	0	True	Two Pair
7	♢Q	♢4	True	0	True	Flush
8	♡2	♢5	False	1	False	One Pair
9	♠A	♣9	False	0	True	Two Pair
10	♣T	♠3	False	0	True	Three Of A Kind
11	♡5	♢T	False	0	True	Three Of A Kind
12	♢6	♡J	False	0	False	One Pair
13	♡4	♢8	False	0	True	Three Of A Kind
14	♢K	♡9	False	0	False	One Pair
15	♣J	♡8	False	0	True	Three Of A Kind
16	♣A	♢A	False	2	True	Four Of A Kind
17	♢3	♣J	False	0	False	High Card
18	♡9	♣8	False	0	True	Four Of A Kind
19	♣K	♣A	True	2	True	One Pair
20	♠A	♣T	False	0	False	One Pair
21	♠4	♡3	False	0	True	Three Of A Kind
22	♠T	♡Q	False	0	True	Full House
23	♠9	♠K	True	0	True	Three Of A Kind
24	♡5	♣T	False	0	True	Four Of A Kind
25	♢Q	♠Q	False	2	True	Four Of A Kind
26	♠J	♣K	False	0	False	One Pair
27	♡9	♡5	True	0	True	Two Pair
28	♢2	♡3	False	1	True	Full House
29	♣7	♣4	True	0	True	Three Of A Kind
30	♡4	♠T	False	0	False	High Card
31	♠3	♢5	False	0	True	Three Of A Kind
32	♢J	♡4	False	0	False	High Card
33	♠9	♣A	False	0	True	Flush
34	♠2	♢T	False	1	True	One Pair
35	♠K	♣T	False	0	True	One Pair
36	♠5	♠8	True	0	False	One Pair
37	♢Q	♡J	False	0	False	One Pair
38	♣8	♡8	False	2	True	Two Pair
39	♣2	♣4	True	1	True	Straight
40	♢4	♣J	False	0	False	High Card
41	♣4	♢J	False	0	False	One Pair
42	♡8	♢6	False	0	True	Three Of A Kind
43	♡Q	♠3	False	0	True	Three Of A Kind
44	♢4	♡9	False	0	True	One Pair
45	♣4	♡T	False	0	False	One Pair
46	♠4	♡J	False	0	False	One Pair
47	♠8	♣5	False	0	False	One Pair
